hei_score,risk_class,risk_code,pop_raw,ndvi_raw,lulc_class,urban_class,lst_norm,pop_norm,ndvi_inv_norm,lulc_weight,color_hex
0.3125,Moderate Risk,3,1.198233962059021,,Bare Land,Peri-Urban / Sparse,0.3541,0.002731,0.5000,0.70,#FFAA00
0.3124,Moderate Risk,3,1.149062156677246,,Bare Land,Peri-Urban / Sparse,0.3541,0.002619,0.5000,0.70,#FFAA00
0.3651,Moderate Risk,3,1.1457048654556274,0.112891,Bare Land,Peri-Urban / Sparse,0.3541,0.002611,0.7634,0.70,#FFAA00
0.3124,Moderate Risk,3,1.1516945362091064,,Bare Land,Peri-Urban / Sparse,0.3541,0.002625,0.5000,0.70,#FFAA00
0.3640,Moderate Risk,3,1.1411731243133545,0.113839,Bare Land,Peri-Urban / Sparse,0.3541,0.002601,0.7579,0.70,#FFAA00
0.3649,Moderate Risk,3,1.1511070728302002,0.113050,Bare Land,Peri-Urban / Sparse,0.3541,0.002624,0.7625,0.70,#FFAA00
0.3615,Moderate Risk,3,1.0171891450881958,0.115905,Bare Land,Peri-Urban / Sparse,0.3541,0.002318,0.7458,0.70,#FFAA00
0.3616,Moderate Risk,3,1.053503155708313,0.115863,Bare Land,Peri-Urban / Sparse,0.3541,0.002401,0.7461,0.70,#FFAA00
0.3592,Moderate Risk,3,0.9287358522415161,0.117812,Bare Land,Rural / Scattered,0.3541,0.002117,0.7347,0.70,#FFAA00
0.3587,Moderate Risk,3,0.9382503032684326,0.118258,Bare Land,Rural / Scattered,0.3541,0.002139,0.7321,0.70,#FFAA00
0.3123,Moderate Risk,3,0.9429019689559937,,Bare Land,Rural / Scattered,0.3541,0.002149,0.5000,0.70,#FFAA00
0.3580,Moderate Risk,3,0.8702827095985413,0.118866,Bare Land,Rural / Scattered,0.3541,0.001984,0.7286,0.70,#FFAA00
0.3574,Moderate Risk,3,0.8887169361114502,0.119345,Bare Land,Rural / Scattered,0.3541,0.002026,0.7258,0.70,#FFAA00
0.3123,Moderate Risk,3,0.9005531668663025,,Bare Land,Rural / Scattered,0.3541,0.002053,0.5000,0.70,#FFAA00
0.3558,Moderate Risk,3,0.8158497214317322,0.120718,Bare Land,Rural / Scattered,0.3541,0.001860,0.7178,0.70,#FFAA00
0.3549,Moderate Risk,3,0.8364014029502869,0.121469,Bare Land,Rural / Scattered,0.3541,0.001906,0.7134,0.70,#FFAA00
0.3559,Moderate Risk,3,0.883262038230896,0.120601,Bare Land,Rural / Scattered,0.3541,0.002013,0.7185,0.70,#FFAA00
0.3537,Moderate Risk,3,0.8227210640907288,0.122511,Bare Land,Rural / Scattered,0.3541,0.001875,0.7073,0.70,#FFAA00
0.3520,Moderate Risk,3,0.8653915524482727,0.123983,Bare Land,Rural / Scattered,0.3541,0.001972,0.6987,0.70,#FFAA00
0.3529,Moderate Risk,3,0.893425464630127,0.123238,Bare Land,Rural / Scattered,0.3541,0.002036,0.7031,0.70,#FFAA00
0.3123,Moderate Risk,3,0.9037814736366272,,Bare Land,Rural / Scattered,0.3541,0.002060,0.5000,0.70,#FFAA00
0.3491,Moderate Risk,3,0.8178156018257141,0.126391,Bare Land,Rural / Scattered,0.3541,0.001864,0.6847,0.70,#FFAA00
0.3481,Moderate Risk,3,0.8275047540664673,0.127246,Bare Land,Rural / Scattered,0.3541,0.001886,0.6797,0.70,#FFAA00
0.3489,Moderate Risk,3,0.8343743681907654,0.126624,Bare Land,Rural / Scattered,0.3541,0.001902,0.6833,0.70,#FFAA00
0.3479,Moderate Risk,3,0.8093129992485046,0.127497,Bare Land,Rural / Scattered,0.3541,0.001845,0.6783,0.70,#FFAA00
0.3445,Moderate Risk,3,0.36356407403945923,0.130071,Bare Land,Rural / Scattered,0.3541,0.000829,0.6633,0.70,#FFAA00
0.3457,Moderate Risk,3,0.36372509598731995,0.129104,Bare Land,Rural / Scattered,0.3541,0.000829,0.6689,0.70,#FFAA00
0.3441,Moderate Risk,3,0.3401770293712616,0.130414,Bare Land,Rural / Scattered,0.3541,0.000775,0.6613,0.70,#FFAA00
0.3438,Moderate Risk,3,0.29729652404785156,0.130667,Bare Land,Rural / Scattered,0.3541,0.000678,0.6598,0.70,#FFAA00
0.3416,Moderate Risk,3,0.30237510800361633,0.132559,Bare Land,Rural / Scattered,0.3541,0.000689,0.6487,0.70,#FFAA00
0.3417,Moderate Risk,3,0.30670738220214844,0.132484,Bare Land,Rural / Scattered,0.3541,0.000699,0.6492,0.70,#FFAA00
0.3119,Moderate Risk,3,0.3124198615550995,,Bare Land,Rural / Scattered,0.3541,0.000712,0.5000,0.70,#FFAA00
0.3767,Moderate Risk,3,1.0927436351776123,0.102887,Bare Land,Peri-Urban / Sparse,0.3541,0.002491,0.8217,0.70,#FFAA00
0.3767,Moderate Risk,3,1.0927436351776123,0.102887,Bare Land,Peri-Urban / Sparse,0.3541,0.002491,0.8217,0.70,#FFAA00
0.3753,Moderate Risk,3,1.0881075859069824,0.104140,Bare Land,Peri-Urban / Sparse,0.3541,0.002480,0.8144,0.70,#FFAA00
0.3753,Moderate Risk,3,1.0881075859069824,0.104140,Bare Land,Peri-Urban / Sparse,0.3541,0.002480,0.8144,0.70,#FFAA00
0.3747,Moderate Risk,3,1.080935001373291,0.104593,Bare Land,Peri-Urban / Sparse,0.3541,0.002464,0.8118,0.70,#FFAA00
0.3750,Moderate Risk,3,1.074749231338501,0.104357,Bare Land,Peri-Urban / Sparse,0.3541,0.002450,0.8132,0.70,#FFAA00
0.3750,Moderate Risk,3,1.06398606300354,0.104327,Bare Land,Peri-Urban / Sparse,0.3541,0.002425,0.8133,0.70,#FFAA00
0.3750,Moderate Risk,3,1.0568479299545288,0.104325,Bare Land,Peri-Urban / Sparse,0.3541,0.002409,0.8133,0.70,#FFAA00
0.3750,Moderate Risk,3,1.0565763711929321,0.104328,Bare Land,Peri-Urban / Sparse,0.3541,0.002408,0.8133,0.70,#FFAA00
0.3749,Moderate Risk,3,1.0615907907485962,0.104465,Bare Land,Peri-Urban / Sparse,0.3541,0.002420,0.8125,0.70,#FFAA00
0.3758,Moderate Risk,3,1.0735172033309937,0.103699,Bare Land,Peri-Urban / Sparse,0.3541,0.002447,0.8170,0.70,#FFAA00
0.3751,Moderate Risk,3,1.0965782403945923,0.104321,Bare Land,Peri-Urban / Sparse,0.3541,0.002499,0.8134,0.70,#FFAA00
0.3740,Moderate Risk,3,1.1176764965057373,0.105268,Bare Land,Peri-Urban / Sparse,0.3541,0.002547,0.8078,0.70,#FFAA00
0.3751,Moderate Risk,3,1.1312166452407837,0.104333,Bare Land,Peri-Urban / Sparse,0.3541,0.002578,0.8133,0.70,#FFAA00
0.3749,Moderate Risk,3,1.1408389806747437,0.104467,Bare Land,Peri-Urban / Sparse,0.3541,0.002600,0.8125,0.70,#FFAA00
0.3750,Moderate Risk,3,1.1443504095077515,0.104412,Bare Land,Peri-Urban / Sparse,0.3541,0.002608,0.8128,0.70,#FFAA00
0.3753,Moderate Risk,3,1.1452605724334717,0.104181,Bare Land,Peri-Urban / Sparse,0.3541,0.002610,0.8142,0.70,#FFAA00
0.3772,Moderate Risk,3,1.1454676389694214,0.102507,Bare Land,Peri-Urban / Sparse,0.3541,0.002611,0.8239,0.70,#FFAA00
0.3763,Moderate Risk,3,1.1465142965316772,0.103311,Bare Land,Peri-Urban / Sparse,0.3541,0.002613,0.8192,0.70,#FFAA00
0.3770,Moderate Risk,3,1.146092414855957,0.102681,Bare Land,Peri-Urban / Sparse,0.3541,0.002612,0.8229,0.70,#FFAA00
0.3764,Moderate Risk,3,1.1462987661361694,0.103216,Bare Land,Peri-Urban / Sparse,0.3541,0.002613,0.8198,0.70,#FFAA00
0.3764,Moderate Risk,3,1.1460375785827637,0.103202,Bare Land,Peri-Urban / Sparse,0.3541,0.002612,0.8199,0.70,#FFAA00
0.3752,Moderate Risk,3,1.1451040506362915,0.104265,Bare Land,Peri-Urban / Sparse,0.3541,0.002610,0.8137,0.70,#FFAA00
0.3749,Moderate Risk,3,1.1444611549377441,0.104502,Bare Land,Peri-Urban / Sparse,0.3541,0.002609,0.8123,0.70,#FFAA00
0.3758,Moderate Risk,3,1.1439545154571533,0.103741,Bare Land,Peri-Urban / Sparse,0.3541,0.002607,0.8167,0.70,#FFAA00
0.3760,Moderate Risk,3,1.1432679891586304,0.103504,Bare Land,Peri-Urban / Sparse,0.3541,0.002606,0.8181,0.70,#FFAA00
0.3765,Moderate Risk,3,1.1425153017044067,0.103132,Bare Land,Peri-Urban / Sparse,0.3541,0.002604,0.8203,0.70,#FFAA00
0.3756,Moderate Risk,3,1.1428558826446533,0.103879,Bare Land,Peri-Urban / Sparse,0.3541,0.002605,0.8159,0.70,#FFAA00
0.3753,Moderate Risk,3,1.1419824361801147,0.104109,Bare Land,Peri-Urban / Sparse,0.3541,0.002603,0.8146,0.70,#FFAA00
0.3747,Moderate Risk,3,1.1409194469451904,0.104668,Bare Land,Peri-Urban / Sparse,0.3541,0.002600,0.8113,0.70,#FFAA00
0.3743,Moderate Risk,3,1.1396640539169312,0.104963,Bare Land,Peri-Urban / Sparse,0.3541,0.002598,0.8096,0.70,#FFAA00
0.3742,Moderate Risk,3,1.1392802000045776,0.105116,Bare Land,Peri-Urban / Sparse,0.3541,0.002597,0.8087,0.70,#FFAA00
0.3732,Moderate Risk,3,1.1380407810211182,0.105909,Bare Land,Peri-Urban / Sparse,0.3541,0.002594,0.8041,0.70,#FFAA00
0.3735,Moderate Risk,3,1.135603904724121,0.105706,Bare Land,Peri-Urban / Sparse,0.3541,0.002588,0.8053,0.70,#FFAA00
0.3738,Moderate Risk,3,1.1360466480255127,0.105452,Bare Land,Peri-Urban / Sparse,0.3541,0.002589,0.8068,0.70,#FFAA00
0.3734,Moderate Risk,3,1.1392773389816284,0.105735,Bare Land,Peri-Urban / Sparse,0.3541,0.002597,0.8051,0.70,#FFAA00
0.3722,Moderate Risk,3,1.1399458646774292,0.106837,Bare Land,Peri-Urban / Sparse,0.3541,0.002598,0.7987,0.70,#FFAA00
0.3706,Moderate Risk,3,1.1388075351715088,0.108191,Bare Land,Peri-Urban / Sparse,0.3541,0.002596,0.7908,0.70,#FFAA00
0.3703,Moderate Risk,3,1.138631820678711,0.108443,Bare Land,Peri-Urban / Sparse,0.3541,0.002595,0.7893,0.70,#FFAA00
