gid,hei_score,risk_class,risk_code,population,ndvi,lulc_class,urban_class,lst_norm,pop_norm,ndvi_inv,lulc_w,color_hex,latitude,longitude
1,0.6908,High Risk,4,420.01,0.1049,Built_up,High Density Urban,0.3541,0.9573,0.8098,1.0000,#FF6600,25.40819781666154,49.54159104252837
2,0.6680,High Risk,4,394.15,0.1093,Built_up,High Density Urban,0.3541,0.8984,0.7841,1.0000,#FF6600,25.480891783495508,49.54432424387058
3,0.6339,High Risk,4,385.58,0.1335,Built_up,High Density Urban,0.3541,0.8788,0.6432,1.0000,#FF6600,25.477895395825495,49.63986042087649
4,0.6271,High Risk,4,308.87,0.0944,Built_up,High Density Urban,0.3541,0.7040,0.8711,1.0000,#FF6600,25.33550285738451,49.538868397601995
5,0.6226,High Risk,4,320.23,0.1049,Built_up,High Density Urban,0.3541,0.7299,0.8098,1.0000,#FF6600,25.334022085997866,49.586581525286185
6,0.6137,High Risk,4,328.36,0.1088,Minepits/Industry,High Density Urban,0.3541,0.7484,0.7875,0.9000,#FF6600,25.409668004682818,49.493845781820056
7,0.6123,High Risk,4,292.59,0.0890,Minepits/Industry,High Density Urban,0.3541,0.6669,0.9029,0.9000,#FF6600,25.482366767911387,49.49655048685373
8,0.5840,High Risk,4,438.74,0.1389,Oasis Agriculture/Palm,High Density Urban,0.3541,1.0000,0.6116,0.2000,#FF6600,25.40521117237507,49.63707025653591
9,0.5824,High Risk,4,293.21,0.1235,Built_up,High Density Urban,0.3541,0.6683,0.7013,1.0000,#FF6600,25.332525945171028,49.6342908677275
10,0.5814,High Risk,4,263.74,0.0986,Minepits/Industry,High Density Urban,0.3541,0.6011,0.8469,0.9000,#FF6600,25.336968254580764,49.491151523566586
11,0.5783,High Risk,4,250.20,0.0933,Minepits/Industry,High Density Urban,0.3541,0.5703,0.8777,0.9000,#FF6600,25.19723629984008,49.29511602994868
12,0.5603,High Risk,4,425.58,0.1515,Oasis Agriculture/Palm,High Density Urban,0.3541,0.9700,0.5383,0.2000,#FF6600,25.40671220430251,49.58933254709757
13,0.5592,High Risk,4,208.07,0.0935,Built_up,High Density Urban,0.3541,0.4742,0.8764,1.0000,#FF6600,24.832248447669517,49.3299966222897
14,0.5579,High Risk,4,275.71,0.1257,Minepits/Industry,High Density Urban,0.3541,0.6284,0.6886,0.9000,#FF6600,25.476374002197304,49.68762276269934
15,0.5539,High Risk,4,229.90,0.1109,Built_up,High Density Urban,0.3541,0.5240,0.7751,1.0000,#FF6600,25.331014439702717,49.68199638605268
16,0.5498,High Risk,4,316.19,0.0964,Oasis Agriculture/Palm,High Density Urban,0.3541,0.7207,0.8597,0.2000,#FF6600,25.40216286913577,49.73253413414558
17,0.5356,High Risk,4,399.69,0.2261,Built_up,High Density Urban,0.3541,0.9110,0.1034,1.0000,#FF6600,25.403694725697253,49.6848041318701
18,0.5306,High Risk,4,171.56,0.0881,Minepits/Industry,High Density Urban,0.3541,0.3910,0.9080,0.9000,#FF6600,25.329487574440112,49.72969804140706
19,0.5063,High Risk,4,150.41,0.0965,Minepits/Industry,High Density Urban,0.3541,0.3428,0.8590,0.9000,#FF6600,25.19584161010681,49.34279097884768
20,0.5022,High Risk,4,203.00,0.1308,Minepits/Industry,High Density Urban,0.3541,0.4627,0.6590,0.9000,#FF6600,25.47483714853909,49.73538122132249
21,0.4938,Moderate Risk,3,141.77,0.1021,Minepits/Industry,High Density Urban,0.3541,0.3231,0.8263,0.9000,#FFAA00,25.411122763645757,49.44609680398273
22,0.4783,Moderate Risk,3,104.40,0.0935,Minepits/Industry,High Density Urban,0.3541,0.2379,0.8762,0.9000,#FFAA00,24.108927411645077,49.16334355649064
23,0.4776,Moderate Risk,3,131.20,0.1098,Minepits/Industry,High Density Urban,0.3541,0.2990,0.7811,0.9000,#FFAA00,25.400615607605957,49.78026022442662
24,0.4743,Moderate Risk,3,83.51,0.0933,Built_up,Medium Density Urban,0.3541,0.1903,0.8778,1.0000,#FFAA00,25.55506454159643,49.49926566603752
25,0.4705,Moderate Risk,3,84.72,0.0972,Built_up,Medium Density Urban,0.3541,0.1931,0.8548,1.0000,#FFAA00,25.12451500822173,49.29256528141997
26,0.4692,Moderate Risk,3,85.88,0.0905,Minepits/Industry,Medium Density Urban,0.3541,0.1958,0.8941,0.9000,#FFAA00,24.11273256492375,49.021509100004764
27,0.4658,Moderate Risk,3,82.39,0.0913,Minepits/Industry,Medium Density Urban,0.3541,0.1878,0.8891,0.9000,#FFAA00,24.111478747200117,49.06879051608773
28,0.4650,Moderate Risk,3,82.52,0.0921,Minepits/Industry,Medium Density Urban,0.3541,0.1881,0.8846,0.9000,#FFAA00,25.327945354278835,49.77739579495478
29,0.4628,Moderate Risk,3,74.07,0.0890,Minepits/Industry,Medium Density Urban,0.3541,0.1688,0.9027,0.9000,#FFAA00,24.110210361432504,49.116068680720176
30,0.4563,Moderate Risk,3,60.30,0.0951,Built_up,Medium Density Urban,0.3541,0.1374,0.8673,1.0000,#FFAA00,24.038725904055102,49.066491769041825
31,0.4559,Moderate Risk,3,91.20,0.1050,Minepits/Industry,Medium Density Urban,0.3541,0.2079,0.8095,0.9000,#FFAA00,24.113971810624903,48.97422446989792
32,0.4524,Moderate Risk,3,111.41,0.1027,Bare Land,High Density Urban,0.3541,0.2539,0.8228,0.7000,#FFAA00,25.338418272884983,49.44343094208984
33,0.4503,Moderate Risk,3,58.81,0.0993,Built_up,Medium Density Urban,0.3541,0.1340,0.8424,1.0000,#FFAA00,24.187961044286972,48.92916460063397
34,0.4503,Moderate Risk,3,71.11,0.0980,Minepits/Industry,Medium Density Urban,0.3541,0.1621,0.8503,0.9000,#FFAA00,24.036183219484702,49.16099176172329
35,0.4493,Moderate Risk,3,65.92,0.0958,Minepits/Industry,Medium Density Urban,0.3541,0.1502,0.8631,0.9000,#FFAA00,24.037461819129977,49.113743405727426
36,0.4463,Moderate Risk,3,72.70,0.1024,Minepits/Industry,Medium Density Urban,0.3541,0.1657,0.8247,0.9000,#FFAA00,25.473284839785965,49.7831357577099
37,0.4451,Moderate Risk,3,37.72,0.0915,Built_up,Low Density Urban,0.3541,0.0860,0.8882,1.0000,#FFAA00,25.397474889545585,49.875700513358034
38,0.4432,Moderate Risk,3,46.09,0.0894,Minepits/Industry,Low Density Urban,0.3541,0.1051,0.9002,0.9000,#FFAA00,25.627761323068107,49.501991346885305
39,0.4422,Moderate Risk,3,49.23,0.0921,Minepits/Industry,Low Density Urban,0.3541,0.1122,0.8845,0.9000,#FFAA00,24.034890109172377,49.208236799725114
40,0.4418,Moderate Risk,3,22.68,0.0769,Minepits/Industry,Low Density Urban,0.3541,0.0517,0.9731,0.9000,#FFAA00,25.58591033928162,48.35097840015976
41,0.4415,Moderate Risk,3,143.68,0.1567,Built_up,High Density Urban,0.3541,0.3275,0.5081,1.0000,#FFAA00,25.553584755191256,49.54706802928164
42,0.4414,Moderate Risk,3,18.18,0.0746,Minepits/Industry,Low Density Urban,0.3541,0.0414,0.9865,0.9000,#FFAA00,25.65870736074706,48.35301216971419
43,0.4411,Moderate Risk,3,106.27,0.1093,Bare Land,High Density Urban,0.3541,0.2422,0.7841,0.7000,#FFAA00,25.19861569266998,49.247437547852705
44,0.4396,Moderate Risk,3,62.16,0.1020,Minepits/Industry,Medium Density Urban,0.3541,0.1417,0.8271,0.9000,#FFAA00,25.256811267250033,49.7268729144748
45,0.4392,Moderate Risk,3,6.55,0.0783,Built_up,Peri-Urban / Sparse,0.3541,0.0149,0.9653,1.0000,#FFAA00,23.232160849122472,49.27660343033671
46,0.4388,Moderate Risk,3,63.16,0.1032,Minepits/Industry,Medium Density Urban,0.3541,0.1440,0.8198,0.9000,#FFAA00,25.483826273045405,49.44877300296924
47,0.4380,Moderate Risk,3,380.67,0.2301,Oasis Agriculture/Palm,High Density Urban,0.3541,0.8676,0.0801,0.2000,#FFAA00,25.47940132453737,49.59209423490897
48,0.4372,Moderate Risk,3,87.40,0.1273,Built_up,Medium Density Urban,0.3541,0.1992,0.6792,1.0000,#FFAA00,25.258333146985557,49.67919949689545
49,0.4365,Moderate Risk,3,36.91,0.0898,Minepits/Industry,Low Density Urban,0.3541,0.0841,0.8981,0.9000,#FFAA00,23.964712375033237,49.11142735092645
50,0.4364,Moderate Risk,3,29.00,0.0852,Minepits/Industry,Low Density Urban,0.3541,0.0661,0.9249,0.9000,#FFAA00,24.256981732181632,49.07341544705896
51,0.4363,Moderate Risk,3,24.55,0.0913,Built_up,Low Density Urban,0.3541,0.0560,0.8892,1.0000,#FFAA00,24.693468897036464,49.08751139400304
52,0.4358,Moderate Risk,3,45.55,0.0955,Minepits/Industry,Low Density Urban,0.3541,0.1038,0.8649,0.9000,#FFAA00,24.180368780750708,49.21300286559584
53,0.4343,Moderate Risk,3,25.47,0.0936,Built_up,Low Density Urban,0.3541,0.0581,0.8761,1.0000,#FFAA00,24.692165933162013,49.1350055893255
54,0.4342,Moderate Risk,3,56.33,0.1031,Minepits/Industry,Medium Density Urban,0.3541,0.1284,0.8203,0.9000,#FFAA00,25.412562088878555,49.398344148044636
55,0.4331,Moderate Risk,3,42.91,0.0962,Minepits/Industry,Low Density Urban,0.3541,0.0978,0.8607,0.9000,#FFAA00,24.181670694729164,49.165704699516986
56,0.4317,Moderate Risk,3,21.53,0.0934,Built_up,Low Density Urban,0.3541,0.0491,0.8769,1.0000,#FFAA00,24.764906246071963,49.137414894281065
57,0.4311,Moderate Risk,3,59.95,0.1165,Built_up,Medium Density Urban,0.3541,0.1366,0.7425,1.0000,#FFAA00,25.62627672905369,49.54982242655999
58,0.4301,Moderate Risk,3,30.19,0.0999,Built_up,Low Density Urban,0.3541,0.0688,0.8391,1.0000,#FFAA00,25.865178506912187,48.83900272023252
59,0.4300,Moderate Risk,3,30.21,0.0915,Minepits/Industry,Low Density Urban,0.3541,0.0689,0.8883,0.9000,#FFAA00,23.890692118100304,49.15631612418512
60,0.4294,Moderate Risk,3,15.52,0.0919,Built_up,Low Density Urban,0.3541,0.0354,0.8857,1.0000,#FFAA00,24.62072332056813,49.08513889680217
61,0.4280,Moderate Risk,3,151.82,0.0959,Natural Vegetation,High Density Urban,0.3541,0.3460,0.8627,0.1000,#FFAA00,24.830861533840054,49.37752864429996
62,0.4277,Moderate Risk,3,51.27,0.1058,Minepits/Industry,Medium Density Urban,0.3541,0.1169,0.8049,0.9000,#FFAA00,24.115196480370734,48.92693666320888
63,0.4268,Moderate Risk,3,29.31,0.0936,Minepits/Industry,Low Density Urban,0.3541,0.0668,0.8756,0.9000,#FFAA00,23.891962031662665,49.10912049347035
64,0.4266,Moderate Risk,3,6.86,0.0806,Minepits/Industry,Peri-Urban / Sparse,0.3541,0.0156,0.9516,0.9000,#FFAA00,23.23343380956374,49.229649726773026
65,0.4262,Moderate Risk,3,26.01,0.0922,Minepits/Industry,Low Density Urban,0.3541,0.0593,0.8838,0.9000,#FFAA00,23.965972163804018,49.06420213730313
66,0.4258,Moderate Risk,3,37.49,0.0993,Minepits/Industry,Low Density Urban,0.3541,0.0854,0.8425,0.9000,#FFAA00,25.471717080921835,49.83088633284465
67,0.4254,Moderate Risk,3,12.75,0.0937,Built_up,Low Density Urban,0.3541,0.0291,0.8751,1.0000,#FFAA00,23.306179089166168,49.23195093436159
68,0.4245,Moderate Risk,3,28.91,0.0954,Minepits/Industry,Low Density Urban,0.3541,0.0659,0.8655,0.9000,#FFAA00,23.816665273248862,49.2011583665633
69,0.4243,Moderate Risk,3,84.73,0.1111,Bare Land,Medium Density Urban,0.3541,0.1931,0.7736,0.7000,#FFAA00,24.83362031876205,49.28246107401883
70,0.4242,Moderate Risk,3,37.71,0.1094,Built_up,Low Density Urban,0.3541,0.0860,0.7837,1.0000,#FFAA00,24.903577473008824,49.38009524753782
71,0.4242,Moderate Risk,3,43.34,0.1041,Minepits/Industry,Low Density Urban,0.3541,0.0988,0.8147,0.9000,#FFAA00,25.324814869084687,49.872779441381624
72,0.4239,Moderate Risk,3,46.29,0.1061,Minepits/Industry,Low Density Urban,0.3541,0.1055,0.8031,0.9000,#FFAA00,25.326387784162907,49.82508960787889
73,0.4231,Moderate Risk,3,21.72,0.0924,Minepits/Industry,Low Density Urban,0.3541,0.0495,0.8831,0.9000,#FFAA00,25.3467951688127,49.15703177816453
74,0.4230,Moderate Risk,3,24.80,0.0943,Minepits/Industry,Low Density Urban,0.3541,0.0565,0.8718,0.9000,#FFAA00,23.742631980223354,49.24595435502865
